,0
0,243.66666666666617
1,235.6666666666662
2,228.99999999999957
3,253.6666666666661
4,204.66666666666637
5,148.33333333333334
6,169.66666666666657
7,162.3333333333333
8,298.9999999999999
9,195.99999999999974
10,204.33333333333303
11,223.33333333333292
12,284.3333333333331
13,243.99999999999952
14,171.9999999999999
15,197.6666666666664
16,275.99999999999966
17,270.3333333333329
18,291.9999999999999
19,339.0000000000004
20,326.0000000000002
21,324.33333333333354
22,293.6666666666666
23,298.33333333333326
24,296.9999999999999
25,300.99999999999994
26,262.6666666666662
27,299.6666666666666
28,248.3333333333328
29,227.9999999999996
30,226.66666666666626
31,288.33333333333314
32,275.99999999999966
33,161.99999999999997
34,281.66666666666646
35,232.3333333333329
36,215.99999999999966
37,42.66666666666666
38,113.33333333333344
39,41.99999999999999
40,309.6666666666667
41,312.3333333333334
42,457.0000000000019
43,525.0000000000016
44,378.00000000000085
45,382.0000000000009
46,339.6666666666671
47,303.3333333333333
