,0
0,213.0
1,163.66666666666669
2,157.66666666666666
3,163.66666666666669
4,643.6666666666662
5,392.66666666666634
6,538.3333333333336
7,368.3333333333336
8,607.333333333333
9,601.333333333333
10,604.9999999999995
11,592.9999999999997
12,964.6666666666682
13,919.0000000000014
14,952.3333333333352
15,897.0000000000013
16,265.9999999999998
17,184.0
18,121.0
19,77.33333333333333
20,208.66666666666643
21,20.0
22,95.66666666666669
23,57.666666666666664
24,204.33333333333323
25,183.66666666666663
26,179.99999999999994
27,191.99999999999991
28,187.33333333333337
29,145.0
30,154.33333333333337
31,136.66666666666669
32,201.99999999999991
33,194.99999999999994
34,178.99999999999997
35,196.33333333333326
36,141.0
37,85.0
38,73.0
39,89.0
40,156.66666666666669
41,142.0
42,98.0
43,133.33333333333334
44,181.66666666666663
45,182.0
46,175.0
47,179.99999999999994
