,0
0,886.9999999999999
1,447.6666666666669
2,774.6666666666666
3,663.3333333333331
4,4.666666666666666
5,0.0
6,0.0
7,0.0
8,152.66666666666669
9,4.0
10,69.33333333333333
11,2.0
12,233.6666666666666
13,10.0
14,127.00000000000003
15,95.66666666666669
16,2.6666666666666665
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,746.3333333333335
25,328.99999999999994
26,511.0000000000002
27,302.6666666666666
28,4.666666666666666
29,0.0
30,0.0
31,0.0
32,940.3333333333338
33,495.3333333333333
34,767.6666666666669
35,396.3333333333334
36,2.6666666666666665
37,0.0
38,0.0
39,0.0
40,974.6666666666667
41,684.9999999999999
42,841.3333333333328
43,854.333333333333
44,4.666666666666666
45,0.0
46,0.0
47,0.0
