,0
0,389.3333333333341
1,324.33333333333366
2,278.33333333333303
3,295.6666666666666
4,481.6666666666686
5,478.6666666666686
6,481.3333333333353
7,477.000000000002
8,581.0000000000003
9,449.0000000000019
10,548.0000000000011
11,488.66666666666885
12,784.9999999999962
13,784.9999999999962
14,784.3333333333296
15,784.3333333333296
16,729.666666666665
17,716.6666666666646
18,727.6666666666648
19,720.9999999999981
20,536.666666666668
21,523.0000000000023
22,528.3333333333346
23,513.6666666666695
24,541.333333333335
25,513.3333333333355
26,535.3333333333348
27,535.3333333333351
28,762.6666666666638
29,755.9999999999973
30,742.3333333333311
31,738.9999999999978
32,694.9999999999985
33,652.999999999999
34,688.333333333332
35,657.3333333333325
36,331.3333333333337
37,316.00000000000017
38,248.66666666666612
39,289.6666666666665
40,519.3333333333353
41,460.33333333333525
42,537.3333333333351
43,548.0000000000014
44,213.33333333333306
45,136.00000000000003
46,128.33333333333343
47,195.9999999999999
