,0
0,590.0000000000001
1,586.6666666666667
2,590.0000000000001
3,596.0000000000001
4,594.3333333333334
5,584.3333333333337
6,592.6666666666669
7,584.666666666667
8,588.6666666666671
9,590.3333333333336
