,0
0,196.66666666666677
1,39.33333333333333
2,208.3333333333335
3,57.333333333333336
4,669.0000000000006
5,460.33333333333235
6,620.6666666666665
7,474.66666666666555
8,10.666666666666666
9,2.0
10,1.0
11,2.0
12,381.6666666666662
13,16.333333333333336
14,424.6666666666661
15,155.66666666666663
16,11.333333333333332
17,2.0
18,2.0
19,2.0
20,1475.9999999999948
21,1514.9999999999939
22,1197.0000000000007
23,1161.3333333333346
24,10.666666666666668
25,2.0
26,1.0
27,0.0
28,1349.333333333331
29,439.66666666666595
30,885.6666666666697
31,566.9999999999989
32,1420.999999999996
33,567.3333333333322
34,958.0000000000035
35,630.0
36,12.0
37,1.0
38,1.0
39,2.0
40,383.6666666666667
41,12.666666666666668
42,292.33333333333337
43,79.33333333333333
44,10.666666666666668
45,1.0
46,0.0
47,2.0
