,0
0,610.3333333333328
1,661.3333333333313
2,571.999999999999
3,597.9999999999995
4,479.33333333333536
5,484.6666666666687
6,485.3333333333353
7,442.0000000000028
8,686.3333333333308
9,512.3333333333375
10,655.3333333333314
11,557.0000000000018
12,778.9999999999961
13,719.3333333333308
14,767.9999999999962
15,784.3333333333295
16,751.9999999999981
17,738.6666666666645
18,747.9999999999978
19,715.333333333331
20,685.3333333333306
21,684.9999999999974
22,646.9999999999975
23,659.9999999999977
24,531.6666666666682
25,518.0000000000027
26,559.3333333333327
27,517.0000000000025
28,684.9999999999974
29,685.3333333333308
30,684.3333333333308
31,684.666666666664
32,684.9999999999974
33,684.9999999999974
34,684.3333333333308
35,681.6666666666641
36,684.666666666664
37,665.9999999999984
38,598.9999999999982
39,609.9999999999993
40,508.3333333333357
41,537.0000000000018
42,537.3333333333355
43,543.3333333333348
44,260.6666666666659
45,215.99999999999943
46,176.33333333333331
47,248.99999999999918
