,0
0,371.0
1,370.0
2,369.6666666666667
3,387.66666666666663
4,967.9999999999983
5,1059.6666666666633
6,995.6666666666657
7,1106.666666666664
8,807.9999999999984
9,653.3333333333335
10,711.3333333333335
11,860.3333333333333
12,940.9999999999998
13,935.6666666666666
14,1006.0000000000014
15,930.6666666666667
16,939.6666666666666
17,643.3333333333334
18,893.3333333333334
19,706.6666666666667
20,751.6666666666667
21,725.6666666666667
22,733.0
23,718.0
24,937.6666666666667
25,939.0
26,920.6666666666667
27,933.6666666666667
28,937.6666666666667
29,934.3333333333334
30,927.3333333333334
31,929.6666666666667
32,936.3333333333333
33,938.3333333333334
34,936.6666666666667
35,938.6666666666666
36,937.6666666666666
37,936.6666666666667
38,928.6666666666667
39,932.6666666666666
40,938.3333333333334
41,939.0
42,939.6666666666666
43,938.3333333333334
44,937.6666666666667
45,937.6666666666667
46,928.6666666666667
47,921.0
