,0
0,1114.0
1,403.0000000000001
2,342.0
3,262.66666666666663
4,192.0
5,185.66666666666666
6,190.0
7,188.99999999999997
8,127.00000000000006
9,51.333333333333336
10,72.0
11,77.33333333333334
12,386.33333333333326
13,274.9999999999999
14,228.6666666666666
15,248.66666666666666
16,205.66666666666663
17,186.33333333333337
18,170.99999999999997
19,197.66666666666666
20,315.33333333333314
21,288.6666666666664
22,278.6666666666666
23,290.66666666666634
24,1090.9999999999998
25,1053.333333333333
26,1051.3333333333328
27,1036.666666666666
28,1130.0
29,1130.0
30,1101.0
31,1108.6666666666665
32,1129.6666666666667
33,1129.3333333333333
34,1103.0
35,1127.6666666666665
36,917.6666666666666
37,862.9999999999999
38,872.3333333333334
39,822.3333333333334
40,1130.0
41,1118.333333333333
42,1101.6666666666665
43,1094.0
44,824.0
45,816.6666666666667
46,792.0
47,782.3333333333333
48,464.3333333333355
49,465.00000000000205
50,464.0000000000023
51,482.00000000000193
52,550.666666666668
53,546.3333333333346
54,551.0000000000011
55,552.3333333333344
56,389.0000000000008
57,328.00000000000034
58,281.9999999999997
59,298.33333333333326
60,331.3333333333337
61,317.33333333333354
62,247.99999999999946
63,288.6666666666665
64,759.3333333333308
65,751.3333333333306
66,756.3333333333309
67,749.3333333333309
68,755.6666666666641
69,735.666666666665
70,746.3333333333308
71,739.3333333333313
72,543.333333333335
73,543.0000000000016
74,538.3333333333348
75,539.333333333335
76,535.6666666666679
77,524.3333333333355
78,529.0000000000014
79,521.6666666666688
80,584.6666666666669
81,458.66666666666873
82,558.000000000001
83,506.666666666669
84,319.0000000000008
85,171.99999999999997
86,178.33333333333331
87,301.66666666666697
88,687.3333333333306
89,686.9999999999973
90,686.9999999999973
91,687.666666666664
92,686.9999999999973
93,686.9999999999973
94,686.9999999999973
95,687.3333333333306
96,621.9999999999995
97,625.9999999999999
98,626.6666666666665
99,625.6666666666663
100,1548.6666666666597
101,1543.999999999993
102,1532.9999999999934
103,1547.3333333333262
104,744.3333333333381
105,645.6666666666699
106,712.3333333333377
107,854.6666666666639
108,1104.3333333333317
109,1101.9999999999977
110,1100.9999999999975
111,1101.999999999998
112,1103.3333333333312
113,771.6666666666654
114,1035.666666666663
115,818.9999999999985
116,872.6666666666645
117,829.9999999999981
118,845.3333333333314
119,621.3333333333339
120,1554.6666666666595
121,1550.999999999993
122,1526.3333333333267
123,1532.3333333333267
124,1560.333333333326
125,1461.3333333333298
126,1534.6666666666601
127,1475.9999999999966
128,1448.6666666666624
129,1448.3333333333287
130,1470.6666666666608
131,1515.999999999994
132,1545.9999999999925
133,1526.9999999999932
134,1512.6666666666597
135,1517.9999999999934
136,1564.6666666666592
137,1564.6666666666592
138,1560.3333333333262
139,1564.6666666666595
140,1367.6666666666638
141,1350.6666666666633
142,1349.6666666666658
143,1353.666666666664
