,0
0,13.333333333333334
1,29.333333333333336
2,30.333333333333336
3,10.666666666666666
4,1.3333333333333333
5,3.0
6,2.6666666666666665
7,2.333333333333333
8,26.666666666666664
9,5.333333333333333
10,152.99999999999997
11,3.333333333333333
12,24.0
13,2.6666666666666665
14,12.0
15,8.0
16,4.666666666666666
17,4.0
18,2.6666666666666665
19,2.6666666666666665
20,86.66666666666666
21,83.66666666666667
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,243.66666666666617
49,235.6666666666662
50,228.99999999999957
51,253.6666666666661
52,204.66666666666637
53,148.33333333333334
54,169.66666666666657
55,162.3333333333333
56,298.9999999999999
57,195.99999999999974
58,204.33333333333303
59,223.33333333333292
60,284.3333333333331
61,243.99999999999952
62,171.9999999999999
63,197.6666666666664
64,275.99999999999966
65,270.3333333333329
66,291.9999999999999
67,339.0000000000004
68,326.0000000000002
69,324.33333333333354
70,293.6666666666666
71,298.33333333333326
72,296.9999999999999
73,300.99999999999994
74,262.6666666666662
75,299.6666666666666
76,248.3333333333328
77,227.9999999999996
78,226.66666666666626
79,288.33333333333314
80,275.99999999999966
81,161.99999999999997
82,281.66666666666646
83,232.3333333333329
84,215.99999999999966
85,42.66666666666666
86,113.33333333333344
87,41.99999999999999
88,309.6666666666667
89,312.3333333333334
90,457.0000000000019
91,525.0000000000016
92,378.00000000000085
93,382.0000000000009
94,339.6666666666671
95,303.3333333333333
96,0.6666666666666666
97,6.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.6666666666666666
105,0.0
106,0.0
107,0.6666666666666666
108,0.0
109,0.0
110,0.0
111,0.0
112,0.6666666666666666
113,0.0
114,0.0
115,0.6666666666666666
116,0.0
117,0.0
118,0.0
119,0.0
120,0.6666666666666666
121,0.6666666666666666
122,0.0
123,0.6666666666666666
124,0.0
125,0.0
126,0.0
127,0.0
128,0.6666666666666666
129,0.0
130,0.0
131,0.6666666666666666
132,0.0
133,0.0
134,0.0
135,0.0
136,0.6666666666666666
137,0.6666666666666666
138,0.0
139,0.6666666666666666
140,0.0
141,0.0
142,0.0
143,0.0
