,0
0,1099.666666666667
1,1089.0
2,1080.0
3,1060.3333333333326
4,1013.3333333333331
5,1009.9999999999999
6,1015.3333333333334
7,1011.3333333333333
8,13.0
9,10.0
10,40.333333333333336
11,63.33333333333333
12,254.66666666666643
13,165.66666666666666
14,189.66666666666674
15,170.33333333333337
16,197.33333333333337
17,77.0
18,70.66666666666667
19,94.0
20,78.0
21,73.0
22,71.66666666666666
23,77.0
24,224.33333333333326
25,218.99999999999994
26,212.00000000000009
27,243.33333333333326
28,210.00000000000003
29,207.33333333333337
30,221.33333333333334
31,214.33333333333334
32,213.66666666666666
33,639.3333333333334
34,1102.0
35,1127.333333333333
36,915.9999999999999
37,851.6666666666665
38,871.0000000000001
39,833.0000000000001
40,1130.0
41,1116.6666666666663
42,1100.6666666666665
43,1090.6666666666665
44,824.0
45,816.3333333333335
46,790.6666666666666
47,780.6666666666665
