,0
0,267.6666666666666
1,230.6666666666667
2,233.00000000000003
3,236.3333333333333
4,384.0
5,284.33333333333326
6,264.3333333333333
7,245.66666666666663
8,1014.0
9,1014.3333333333333
10,1015.6666666666665
11,1009.0000000000001
12,1110.0
13,1002.3333333333333
14,1074.6666666666665
15,953.0000000000001
16,207.66666666666663
17,186.33333333333334
18,172.3333333333333
19,195.66666666666666
20,100.66666666666669
21,54.666666666666664
22,98.00000000000001
23,62.666666666666664
24,952.9999999999999
25,940.3333333333333
26,915.0
27,928.9999999999999
28,1130.0
29,1130.0
30,1098.3333333333333
31,1105.6666666666665
32,1130.0
33,1115.9999999999998
34,1101.6666666666665
35,1080.9999999999998
36,824.0
37,750.3333333333335
38,789.6666666666666
39,754.6666666666666
40,919.0
41,861.9999999999999
42,867.6666666666667
43,822.6666666666669
44,1129.0
45,1129.3333333333333
46,1098.0000000000002
47,1126.6666666666667
