,0
0,705.3333333333351
1,590.0000000000002
2,658.6666666666679
3,609.0000000000006
4,622.6666666666664
5,0.3333333333333333
6,619.9999999999997
7,3.3333333333333335
8,1161.6666666666683
9,1529.3333333333264
10,1516.6666666666601
11,1531.9999999999932
12,624.0000000000001
13,560.9999999999994
14,603.3333333333335
15,561.3333333333327
16,1345.3333333333296
17,1327.6666666666638
18,1342.9999999999966
19,1331.999999999997
20,1563.3333333333262
21,1562.9999999999927
22,1554.6666666666595
23,1563.333333333326
24,1555.9999999999927
25,1456.3333333333298
26,960.3333333333369
27,1471.33333333333
28,1546.6666666666597
29,1540.66666666666
30,1393.3333333333287
31,1519.9999999999939
32,1525.9999999999934
33,1213.333333333333
34,1352.9999999999975
35,1488.9999999999943
36,1542.3333333333262
37,1523.66666666666
38,1493.6666666666608
39,1471.6666666666604
40,420.666666666665
41,326.6666666666658
42,504.66666666666526
43,400.9999999999997
44,1342.9999999999973
45,1235.3333333333321
46,1286.9999999999982
47,1147.6666666666677
