,0
0,3.333333333333333
1,2.333333333333333
2,0.6666666666666666
3,0.6666666666666666
4,0.6666666666666666
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.6666666666666666
13,0.0
14,0.0
15,0.6666666666666666
16,0.0
17,0.0
18,0.0
19,0.0
20,0.6666666666666666
21,0.6666666666666666
22,0.0
23,0.6666666666666666
24,0.0
25,0.0
26,0.0
27,0.0
28,0.6666666666666666
29,0.6666666666666666
30,0.0
31,0.6666666666666666
32,0.6666666666666666
33,0.0
34,0.0
35,0.6666666666666666
36,0.0
37,0.0
38,0.0
39,0.0
40,0.6666666666666666
41,0.0
42,0.0
43,0.6666666666666666
44,0.0
45,0.0
46,0.0
47,0.0
