,0
0,1105.0
1,1017.333333333333
2,927.3333333333333
3,997.0
4,1009.333333333333
5,1012.0
6,1002.3333333333333
7,798.3333333333334
8,5.666666666666667
9,56.0
10,17.333333333333336
11,63.33333333333333
12,389.3333333333333
13,286.0
14,269.0
15,244.66666666666666
16,209.0
17,187.66666666666666
18,174.33333333333334
19,195.99999999999997
20,300.6666666666665
21,257.9999999999999
22,264.0
23,265.6666666666665
24,955.6666666666666
25,941.6666666666666
26,916.0
27,931.6666666666666
28,1130.0
29,1130.0
30,1098.6666666666665
31,1108.0
32,1129.6666666666667
33,1129.3333333333333
34,1097.3333333333335
35,1127.9999999999998
36,916.6666666666666
37,863.9999999999999
38,872.0
39,824.6666666666666
40,1130.0
41,1118.6666666666665
42,1101.6666666666665
43,1084.0
44,824.0
45,814.3333333333335
46,790.0
47,762.3333333333333
48,472.33333333333536
49,483.000000000002
50,434.66666666666947
51,481.00000000000193
52,537.0000000000016
53,536.0000000000018
54,541.3333333333347
55,537.0000000000015
56,393.6666666666675
57,327.3333333333337
58,288.6666666666665
59,303.99999999999994
60,332.00000000000045
61,317.66666666666686
62,248.3333333333328
63,287.6666666666665
64,744.9999999999982
65,731.3333333333311
66,738.3333333333314
67,733.3333333333313
68,721.9999999999983
69,693.3333333333321
70,712.3333333333316
71,691.6666666666655
72,544.333333333335
73,543.3333333333348
74,537.0000000000015
75,538.0000000000016
76,534.0000000000013
77,523.0000000000023
78,529.3333333333345
79,516.333333333336
80,585.3333333333335
81,453.33333333333525
82,556.6666666666675
83,495.0000000000023
84,251.33333333333252
85,187.3333333333333
86,169.66666666666666
87,245.6666666666659
88,784.9999999999962
89,784.9999999999962
90,784.3333333333295
91,784.3333333333295
92,762.9999999999975
93,760.3333333333311
94,758.3333333333311
95,758.6666666666641
96,628.9999999999997
97,76.0
98,626.3333333333333
99,626.9999999999997
100,1558.9999999999927
101,1556.66666666666
102,1537.3333333333262
103,1554.999999999993
104,576.0000000000015
105,448.333333333332
106,545.3333333333325
107,247.99999999999991
108,1282.3333333333314
109,1214.0000000000007
110,1293.333333333332
111,1244.666666666666
112,610.9999999999989
113,496.66666666666544
114,596.999999999999
115,561.9999999999982
116,706.3333333333346
117,615.6666666666665
118,698.3333333333344
119,648.3333333333335
120,1553.3333333333262
121,1546.3333333333264
122,1525.66666666666
123,1528.6666666666601
124,1560.3333333333258
125,1461.3333333333298
126,1533.66666666666
127,1478.6666666666633
128,1538.6666666666597
129,1505.3333333333276
130,1504.666666666661
131,1513.3333333333273
132,1545.9999999999932
133,1536.3333333333267
134,1514.66666666666
135,1531.3333333333264
136,1565.6666666666592
137,1565.6666666666592
138,1563.9999999999927
139,1565.6666666666592
140,1350.6666666666626
141,1331.33333333333
142,1350.9999999999961
143,1340.9999999999966
